title,authors,year,subject,cover_url,filename
A strange manuscript found in a copper cylinder,James De Mille,1888,fantasy,http://covers.openlibrary.org/b/id/5647709-L.jpg,book_covers\83_A_strange_manuscript_found_in_a_copper_cylinder.jpg
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,1973,fantasy,http://covers.openlibrary.org/b/id/8574580-L.jpg,"book_covers\84_Momo_oder_Die_seltsame_Geschichte_von_den_Zeit-Dieben_und_von_dem_Kind,_das_den_Menschen_die_gestohlene_Zeit_zurückbrachte.jpg"
The Last Battle,C.S. Lewis,1956,fantasy,http://covers.openlibrary.org/b/id/6529226-L.jpg,book_covers\85_The_Last_Battle.jpg
The Subtle Knife,Philip Pullman,1997,fantasy,http://covers.openlibrary.org/b/id/12614549-L.jpg,book_covers\86_The_Subtle_Knife.jpg
Bridge to Terabithia,Katherine Paterson,1972,fantasy,http://covers.openlibrary.org/b/id/12627341-L.jpg,book_covers\87_Bridge_to_Terabithia.jpg
The Voyage of the Dawn Treader,C.S. Lewis,1952,fantasy,http://covers.openlibrary.org/b/id/9184719-L.jpg,book_covers\88_The_Voyage_of_the_Dawn_Treader.jpg
Catching Fire,Suzanne Collins,2009,fantasy,http://covers.openlibrary.org/b/id/12646539-L.jpg,book_covers\89_Catching_Fire.jpg
Watership Down,Richard Adams,1972,fantasy,http://covers.openlibrary.org/b/id/6450196-L.jpg,book_covers\90_Watership_Down.jpg
The Gunslinger,Stephen King,1976,fantasy,http://covers.openlibrary.org/b/id/8396638-L.jpg,book_covers\91_The_Gunslinger.jpg
Artemis Fowl,Eoin Colfer,1999,fantasy,http://covers.openlibrary.org/b/id/10212689-L.jpg,book_covers\92_Artemis_Fowl.jpg
The Colour of Magic,Terry Pratchett,1983,fantasy,http://covers.openlibrary.org/b/id/14647238-L.jpg,book_covers\93_The_Colour_of_Magic.jpg
New Moon,Stephenie Meyer,2006,fantasy,http://covers.openlibrary.org/b/id/12643406-L.jpg,book_covers\94_New_Moon.jpg
A Game of Thrones,George R. R. Martin,1996,fantasy,http://covers.openlibrary.org/b/id/9269962-L.jpg,book_covers\95_A_Game_of_Thrones.jpg
The Cat in the Hat,"Dr. Seuss, Simon Mugford",1957,fantasy,http://covers.openlibrary.org/b/id/11342-L.jpg,book_covers\96_The_Cat_in_the_Hat.jpg
Hänsel und Gretel,Brothers Grimm,1900,fantasy,http://covers.openlibrary.org/b/id/2327393-L.jpg,book_covers\97_Hänsel_und_Gretel.jpg
Coraline,"Neil Gaiman, Neil Gaiman",2002,fantasy,http://covers.openlibrary.org/b/id/14171421-L.jpg,book_covers\98_Coraline.jpg
The wonderful visit,H. G. Wells,1895,fantasy,http://covers.openlibrary.org/b/id/5683599-L.jpg,book_covers\99_The_wonderful_visit.jpg
The Magical Monarch of Mo,L. Frank Baum,1903,fantasy,http://covers.openlibrary.org/b/id/4846571-L.jpg,book_covers\100_The_Magical_Monarch_of_Mo.jpg
A Wizard of Earthsea,Ursula K. Le Guin,1968,fantasy,http://covers.openlibrary.org/b/id/13617691-L.jpg,book_covers\101_A_Wizard_of_Earthsea.jpg
The Once and Future King,T. H. White,1939,fantasy,http://covers.openlibrary.org/b/id/6630521-L.jpg,book_covers\102_The_Once_and_Future_King.jpg
Thumbelina,"Hans Christian Andersen, Elsa Beskow, Michael Foreman, Michael Morpurgo, Kimberley Reynolds, Catherine Babok, Susannah Mary Paull",1911,fantasy,http://covers.openlibrary.org/b/id/1357775-L.jpg,book_covers\103_Thumbelina.jpg
