title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
His Last Bow [8 stories],Arthur Conan Doyle,1917,historical_fiction,http://covers.openlibrary.org/b/id/8243267-L.jpg,book_covers\997_His_Last_Bow_[8_stories].jpg,997,"rgb(131, 118, 101)","His Last Bow [8 stories] Arthur Conan Doyle historical_fiction 1917 rgb(131, 118, 101)"
Flatland,Edwin Abbott Abbott,1884,historical_fiction,http://covers.openlibrary.org/b/id/10069547-L.jpg,book_covers\998_Flatland.jpg,998,"rgb(248, 248, 248)","Flatland Edwin Abbott Abbott historical_fiction 1884 rgb(248, 248, 248)"
Shirley,Charlotte Brontë,1800,historical_fiction,http://covers.openlibrary.org/b/id/11024634-L.jpg,book_covers\999_Shirley.jpg,999,"rgb(157, 134, 71)","Shirley Charlotte Brontë historical_fiction 1800 rgb(157, 134, 71)"
Les Misérables,Victor Hugo,1862,historical_fiction,http://covers.openlibrary.org/b/id/12721865-L.jpg,book_covers\1000_Les_Misérables.jpg,1000,error_reading,Les Misérables Victor Hugo historical_fiction 1862 error_reading
The deerslayer,James Fenimore Cooper,1841,historical_fiction,http://covers.openlibrary.org/b/id/8237593-L.jpg,book_covers\1001_The_deerslayer.jpg,1001,"rgb(111, 89, 46)","The deerslayer James Fenimore Cooper historical_fiction 1841 rgb(111, 89, 46)"
A history of New York,Washington Irving,1800,historical_fiction,http://covers.openlibrary.org/b/id/1991009-L.jpg,book_covers\1002_A_history_of_New_York.jpg,1002,"rgb(95, 69, 56)","A history of New York Washington Irving historical_fiction 1800 rgb(95, 69, 56)"
The Red Badge of Courage,Stephen Crane,1871,historical_fiction,http://covers.openlibrary.org/b/id/12044954-L.jpg,book_covers\1003_The_Red_Badge_of_Courage.jpg,1003,"rgb(188, 175, 162)","The Red Badge of Courage Stephen Crane historical_fiction 1871 rgb(188, 175, 162)"
Metamorphoses,"Lucius Apuleius, William Adlington, Lucio Apuleyo, pixabay, Apuleius",1500,historical_fiction,http://covers.openlibrary.org/b/id/6596872-L.jpg,book_covers\1004_Metamorphoses.jpg,1004,"rgb(188, 164, 122)","Metamorphoses Lucius Apuleius, William Adlington, Lucio Apuleyo, pixabay, Apuleius historical_fiction 1500 rgb(188, 164, 122)"
The Pathfinder,James Fenimore Cooper,1800,historical_fiction,http://covers.openlibrary.org/b/id/8980913-L.jpg,book_covers\1005_The_Pathfinder.jpg,1005,"rgb(123, 106, 99)","The Pathfinder James Fenimore Cooper historical_fiction 1800 rgb(123, 106, 99)"
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,historical_fiction,http://covers.openlibrary.org/b/id/6976035-L.jpg,book_covers\1006_Le_Tour_du_Monde_en_Quatre-Vingts_Jours.jpg,1006,"rgb(58, 70, 41)","Le Tour du Monde en Quatre-Vingts Jours Jules Verne historical_fiction 1872 rgb(58, 70, 41)"
